ID,Variable 1,Dependency,Variable 2
1,ARTCO2,->,CATECHOL
2,ARTCO2,->,EXPCO2
3,CATECHOL,->,HR
4,CO,->,BP
5,DISCONNECT,->,VENTTUBE
6,ERRCAUTER,->,HREKG
7,ERRCAUTER,->,HRSAT
8,ERRLOWOUTPUT,->,HRBP
9,FIO2,->,PVSAT
10,HR,->,CO
11,HR,->,HRBP
12,HR,->,HREKG
13,HR,->,HRSAT
14,HYPOVOLEMIA,->,LVEDVOLUME
15,HYPOVOLEMIA,->,STROKEVOLUME
16,INSUFFANESTH,->,CATECHOL
17,INTUBATION,->,MINVOL
18,INTUBATION,->,PRESS
19,INTUBATION,->,SHUNT
20,KINKEDTUBE,->,PRESS
21,LVEDVOLUME,->,CVP
22,LVEDVOLUME,->,PCWP
23,LVFAILURE,->,HISTORY
24,LVFAILURE,->,LVEDVOLUME
25,LVFAILURE,->,STROKEVOLUME
26,PULMEMBOLUS,->,PAP
27,PULMEMBOLUS,->,SHUNT
28,PVSAT,->,SAO2
29,SAO2,->,CATECHOL
30,SHUNT,->,SAO2
31,STROKEVOLUME,->,CO
32,VENTMACH,->,VENTTUBE
33,VENTTUBE,->,PRESS
34,EXPCO2,<->,MINVOL
35,EXPCO2,<->,PVSAT
36,MINVOL,<->,ARTCO2
37,MINVOL,<->,PVSAT
38,ARTCO2,<->,PVSAT
39,KINKEDTUBE,->,EXPCO2
40,KINKEDTUBE,->,MINVOL
41,INTUBATION,->,EXPCO2
42,VENTTUBE,->,EXPCO2
43,VENTTUBE,->,MINVOL
44,INTUBATION,->,ARTCO2
45,INTUBATION,->,PVSAT
46,KINKEDTUBE,->,ARTCO2
47,KINKEDTUBE,->,PVSAT
48,VENTTUBE,->,ARTCO2
49,VENTTUBE,->,PVSAT
50,CATECHOL,->,BP
51,ANAPHYLAXIS,->,BP
52,ANAPHYLAXIS,->,CATECHOL
53,ARTCO2,->,BP
54,INSUFFANESTH,->,BP
55,SAO2,->,BP
