,x,,,,
1,NA,,,,
2,NA,,,,
3,NA,,,,
4,NA,,,,
5,NA,,,,
6,Tetradtime,fges:,214.42,sec,elapsed
7,Tetradtime,fges:,244.56,sec,elapsed
8,Tetradtime,fges:,273.54,sec,elapsed
9,Tetradtime,fges:,304.28,sec,elapsed
10,Tetradtime,fges:,334.16,sec,elapsed
11,Tetradtime,fges:,365.84,sec,elapsed
12,Tetradtime,fges:,396.96,sec,elapsed
13,Tetradtime,fges:,423.39,sec,elapsed
14,Tetradtime,fges:,455.62,sec,elapsed
15,Tetradtime,fges:,486.27,sec,elapsed
16,Tetradtime,fges:,516.17,sec,elapsed
17,Tetradtime,fges:,551.69,sec,elapsed
18,Tetradtime,fges:,581.18,sec,elapsed
19,Tetradtime,fges:,607.36,sec,elapsed
20,Tetradtime,fges:,637.52,sec,elapsed
