"","x"
"1",NA
"2","Tetradtime fges: 117.75 sec elapsed"
"3","Tetradtime fges: 143.9 sec elapsed"
"4","Tetradtime fges: 172.48 sec elapsed"
"5","Tetradtime fges: 212.36 sec elapsed"
"6","Tetradtime fges: 244.63 sec elapsed"
"7","Tetradtime fges: 267.77 sec elapsed"
"8","Tetradtime fges: 294.09 sec elapsed"
"9","Tetradtime fges: 327.95 sec elapsed"
"10","Tetradtime fges: 520.64 sec elapsed"
"11","Tetradtime fges: 672.92 sec elapsed"
"12","Tetradtime fges: 665.33 sec elapsed"
"13","Tetradtime fges: 721.3 sec elapsed"
"14","Tetradtime fges: 673.22 sec elapsed"
"15","Tetradtime fges: 528.75 sec elapsed"
"16","Tetradtime fges: 556.5 sec elapsed"
"17","Tetradtime fges: 617.77 sec elapsed"
"18","Tetradtime fges: 676.25 sec elapsed"
"19","Tetradtime fges: 685.41 sec elapsed"
"20","Tetradtime fges: 724.75 sec elapsed"
"21","Tetradtime fges: 746.43 sec elapsed"
"22","Tetradtime fges: 775.84 sec elapsed"
"23","Tetradtime fges: 807.25 sec elapsed"
"24","Tetradtime fges: 851.06 sec elapsed"
"25","Tetradtime fges: 915.55 sec elapsed"
"26","Tetradtime fges: 867.38 sec elapsed"
