"","x"
"1",NA
"2","Tetradtime fges: 103.5 sec elapsed"
"3","Tetradtime fges: 134.05 sec elapsed"
"4","Tetradtime fges: 165.18 sec elapsed"
"5","Tetradtime fges: 197.04 sec elapsed"
"6","Tetradtime fges: 225.39 sec elapsed"
"7","Tetradtime fges: 258.47 sec elapsed"
"8","Tetradtime fges: 291.71 sec elapsed"
"9","Tetradtime fges: 318.52 sec elapsed"
"10","Tetradtime fges: 351.05 sec elapsed"
"11","Tetradtime fges: 377.5 sec elapsed"
"12","Tetradtime fges: 405.16 sec elapsed"
"13","Tetradtime fges: 435.11 sec elapsed"
"14","Tetradtime fges: 464.41 sec elapsed"
"15","Tetradtime fges: 494.6 sec elapsed"
"16","Tetradtime fges: 525.28 sec elapsed"
"17","Tetradtime fges: 562.75 sec elapsed"
"18","Tetradtime fges: 596.57 sec elapsed"
"19","Tetradtime fges: 620.69 sec elapsed"
"20","Tetradtime fges: 649.56 sec elapsed"
"21","Tetradtime fges: 680.59 sec elapsed"
"22","Tetradtime fges: 707.81 sec elapsed"
"23","Tetradtime fges: 756.17 sec elapsed"
"24","Tetradtime fges: 794.73 sec elapsed"
"25","Tetradtime fges: 809.27 sec elapsed"
"26","Tetradtime fges: 842.48 sec elapsed"
"27","Tetradtime fges: 880.64 sec elapsed"
"28","Tetradtime fges: 900.24 sec elapsed"
"29","Tetradtime fges: 932.11 sec elapsed"
"30","Tetradtime fges: 959.84 sec elapsed"
"31","Tetradtime fges: 989.92 sec elapsed"
