"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",0.945945945945946
"7",0.945945945945946
"8",0.82051282051282
"9",0.75
"10",0.944444444444444
"11",0.947368421052632
"12",0.9375
"13",0.942857142857143
"14",0.948717948717949
"15",0.945945945945946
"16",0.947368421052632
"17",0.945945945945946
"18",0.948717948717949
"19",0.941176470588235
"20",0.941176470588235
"21",0.947368421052632
"22",0.948717948717949
"23",0.947368421052632
"24",0.948717948717949
"25",0.941176470588235
"26",0.945945945945946
"27",0.948717948717949
"28",0.948717948717949
"29",0.948717948717949
"30",0.947368421052632
"31",0.945945945945946
"32",0.947368421052632
"33",0.947368421052632
