"","x"
"1",NA
"2",0.905882352941176
"3",0.866666666666667
"4",0.833333333333333
"5",0.865168539325843
"6",0.86046511627907
"7",0.905882352941176
"8",0.862068965517241
"9",0.840909090909091
"10",0.876543209876543
"11",0.909090909090909
"12",0.839080459770115
"13",0.842696629213483
"14",0.909090909090909
"15",0.904761904761905
"16",0.911111111111111
"17",0.926829268292683
"18",0.928571428571429
"19",0.887640449438202
"20",0.930232558139535
"21",0.909090909090909
"22",0.904761904761905
"23",0.905882352941176
"24",0.951219512195122
"25",0.888888888888889
"26",0.931818181818182
"27",0.911111111111111
"28",0.931818181818182
"29",0.953488372093023
"30",0.910112359550562
"31",0.909090909090909
"32",0.928571428571429
"33",0.909090909090909
"34",0.952380952380952
"35",0.887640449438202
