,x,,,,
1,NA,,,,
2,Tetradtime,fges:,173.72,sec,elapsed
3,Tetradtime,fges:,221.92,sec,elapsed
4,Tetradtime,fges:,237.64,sec,elapsed
5,Tetradtime,fges:,264.25,sec,elapsed
6,Tetradtime,fges:,280.9,sec,elapsed
7,Tetradtime,fges:,324.92,sec,elapsed
8,Tetradtime,fges:,352.91,sec,elapsed
9,Tetradtime,fges:,391.08,sec,elapsed
10,Tetradtime,fges:,395.89,sec,elapsed
11,Tetradtime,fges:,453,sec,elapsed
12,Tetradtime,fges:,471.97,sec,elapsed
13,Tetradtime,fges:,517.74,sec,elapsed
14,Tetradtime,fges:,550.64,sec,elapsed
15,Tetradtime,fges:,576.44,sec,elapsed
16,Tetradtime,fges:,613.45,sec,elapsed
17,Tetradtime,fges:,634.83,sec,elapsed
18,Tetradtime,fges:,653.06,sec,elapsed
19,Tetradtime,fges:,697.29,sec,elapsed
20,Tetradtime,fges:,742.53,sec,elapsed
21,Tetradtime,fges:,774.41,sec,elapsed
22,Tetradtime,fges:,789.37,sec,elapsed
23,Tetradtime,fges:,828.41,sec,elapsed
24,Tetradtime,fges:,882.7,sec,elapsed
25,Tetradtime,fges:,904.67,sec,elapsed
26,Tetradtime,fges:,938.47,sec,elapsed
27,Tetradtime,fges:,969.72,sec,elapsed
28,Tetradtime,fges:,1001.17,sec,elapsed
29,Tetradtime,fges:,1035.02,sec,elapsed
30,Tetradtime,fges:,1068.4,sec,elapsed
31,Tetradtime,fges:,1095.67,sec,elapsed
32,Tetradtime,fges:,1122.59,sec,elapsed
33,Tetradtime,fges:,1164.69,sec,elapsed
34,Tetradtime,fges:,1192,sec,elapsed
35,Tetradtime,fges:,1233.99,sec,elapsed
