,x,,,,
1,NA,,,,
2,Tetradtime,fges:,163.3,sec,elapsed
3,Tetradtime,fges:,195.93,sec,elapsed
4,Tetradtime,fges:,211.8,sec,elapsed
5,Tetradtime,fges:,255.58,sec,elapsed
6,Tetradtime,fges:,272.62,sec,elapsed
7,Tetradtime,fges:,317.8,sec,elapsed
8,Tetradtime,fges:,376.94,sec,elapsed
9,Tetradtime,fges:,389.47,sec,elapsed
10,Tetradtime,fges:,384.91,sec,elapsed
11,Tetradtime,fges:,439.96,sec,elapsed
12,Tetradtime,fges:,457.58,sec,elapsed
13,Tetradtime,fges:,504.69,sec,elapsed
14,Tetradtime,fges:,575.64,sec,elapsed
15,Tetradtime,fges:,572.97,sec,elapsed
16,Tetradtime,fges:,602.17,sec,elapsed
17,Tetradtime,fges:,651.84,sec,elapsed
18,Tetradtime,fges:,785.7,sec,elapsed
19,Tetradtime,fges:,695.45,sec,elapsed
20,Tetradtime,fges:,741.11,sec,elapsed
21,Tetradtime,fges:,759.84,sec,elapsed
22,Tetradtime,fges:,849.68,sec,elapsed
23,Tetradtime,fges:,846.47,sec,elapsed
24,Tetradtime,fges:,886.31,sec,elapsed
25,Tetradtime,fges:,920.5,sec,elapsed
26,Tetradtime,fges:,919.23,sec,elapsed
27,Tetradtime,fges:,949.08,sec,elapsed
28,Tetradtime,fges:,979.46,sec,elapsed
29,Tetradtime,fges:,1014.07,sec,elapsed
30,Tetradtime,fges:,1043.2,sec,elapsed
31,Tetradtime,fges:,1072.86,sec,elapsed
32,Tetradtime,fges:,1097.31,sec,elapsed
33,Tetradtime,fges:,1139.78,sec,elapsed
34,Tetradtime,fges:,1156.87,sec,elapsed
35,Tetradtime,fges:,1202.39,sec,elapsed
