"","x"
"1",NA
"2",0.83989898989899
"3",0.833434343434343
"4",0.796363636363636
"5",0.83989898989899
"6",0.849191919191919
"7",0.856565656565657
"8",0.855656565656566
"9",0.849191919191919
"10",0.777878787878788
"11",0.863030303030303
"12",0.833434343434343
"13",0.893636363636364
"14",0.878787878787879
"15",0.872323232323232
"16",0.871414141414141
"17",0.872323232323232
"18",0.85010101010101
"19",0.871414141414141
"20",0.894545454545455
"21",0.878787878787879
"22",0.849191919191919
"23",0.849191919191919
"24",0.85010101010101
"25",0.871414141414141
"26",0.901010101010101
"27",0.893636363636364
"28",0.894545454545455
"29",0.894545454545455
"30",0.90010101010101
"31",0.871414141414141
"32",0.872323232323232
"33",0.894545454545455
"34",0.872323232323232
"35",0.894545454545455
