,x,,,,
1,NA,,,,
2,Tetradtime,fges:,116.32,sec,elapsed
3,Tetradtime,fges:,130.53,sec,elapsed
4,Tetradtime,fges:,160.9,sec,elapsed
5,Tetradtime,fges:,193.49,sec,elapsed
6,Tetradtime,fges:,238.88,sec,elapsed
7,Tetradtime,fges:,356.42,sec,elapsed
8,Tetradtime,fges:,310.68,sec,elapsed
9,Tetradtime,fges:,338.89,sec,elapsed
10,Tetradtime,fges:,392.31,sec,elapsed
11,Tetradtime,fges:,401.97,sec,elapsed
12,Tetradtime,fges:,437.54,sec,elapsed
13,Tetradtime,fges:,449.6,sec,elapsed
14,Tetradtime,fges:,474.84,sec,elapsed
15,Tetradtime,fges:,511.33,sec,elapsed
16,Tetradtime,fges:,517.72,sec,elapsed
17,Tetradtime,fges:,550.77,sec,elapsed
18,Tetradtime,fges:,599.64,sec,elapsed
19,Tetradtime,fges:,599.58,sec,elapsed
20,Tetradtime,fges:,635.44,sec,elapsed
21,Tetradtime,fges:,663.74,sec,elapsed
22,Tetradtime,fges:,688.36,sec,elapsed
23,Tetradtime,fges:,716.2,sec,elapsed
24,Tetradtime,fges:,744,sec,elapsed
25,Tetradtime,fges:,777.39,sec,elapsed
26,Tetradtime,fges:,807.27,sec,elapsed
27,Tetradtime,fges:,847.97,sec,elapsed
28,Tetradtime,fges:,931.4,sec,elapsed
29,Tetradtime,fges:,907.95,sec,elapsed
30,Tetradtime,fges:,933.51,sec,elapsed
31,Tetradtime,fges:,967.76,sec,elapsed
32,Tetradtime,fges:,1006.12,sec,elapsed
33,Tetradtime,fges:,1033.09,sec,elapsed
34,Tetradtime,fges:,1064.15,sec,elapsed
35,Tetradtime,fges:,1094.74,sec,elapsed
