"","x"
"1",NA
"2","Tetradtime fges: 92.03 sec elapsed"
"3","Tetradtime fges: 123.53 sec elapsed"
"4","Tetradtime fges: 155.67 sec elapsed"
"5","Tetradtime fges: 184.91 sec elapsed"
"6","Tetradtime fges: 216.63 sec elapsed"
"7","Tetradtime fges: 246.23 sec elapsed"
"8","Tetradtime fges: 285.64 sec elapsed"
"9","Tetradtime fges: 321.94 sec elapsed"
"10","Tetradtime fges: 336.49 sec elapsed"
"11","Tetradtime fges: 363.04 sec elapsed"
"12","Tetradtime fges: 394.63 sec elapsed"
"13","Tetradtime fges: 426.83 sec elapsed"
"14","Tetradtime fges: 453.94 sec elapsed"
