"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",0.884343434343434
"12",0.878787878787879
"13",0.871414141414141
"14",0.818585858585859
"15",0.916767676767677
"16",0.855656565656566
"17",0.871414141414141
"18",0.893636363636364
"19",0.85010101010101
"20",0.871414141414141
"21",0.849191919191919
"22",0.894545454545455
"23",0.872323232323232
"24",0.871414141414141
"25",0.872323232323232
"26",0.856565656565657
"27",0.893636363636364
"28",0.871414141414141
"29",0.894545454545455
"30",0.894545454545455
"31",0.871414141414141
"32",0.894545454545455
"33",0.894545454545455
"34",0.85010101010101
"35",0.894545454545455
