"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",0.928571428571429
"12",0.927710843373494
"13",0.883720930232558
"14",0.947368421052632
"15",0.909090909090909
"16",0.903614457831325
"17",0.883720930232558
"18",0.886363636363636
"19",0.902439024390244
"20",0.883720930232558
"21",0.880952380952381
"22",0.906976744186046
"23",0.904761904761905
"24",0.883720930232558
"25",0.904761904761905
"26",0.925925925925926
"27",0.886363636363636
"28",0.883720930232558
"29",0.906976744186046
"30",0.906976744186046
"31",0.883720930232558
"32",0.906976744186046
"33",0.906976744186046
"34",0.902439024390244
"35",0.906976744186046
