"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7",NA
"8",NA
"9",NA
"10",NA
"11",0.906976744186046
"12",0.905882352941176
"13",0.904761904761905
"14",0.837209302325581
"15",0.952380952380952
"16",0.882352941176471
"17",0.904761904761905
"18",0.928571428571429
"19",0.880952380952381
"20",0.904761904761905
"21",0.880952380952381
"22",0.928571428571429
"23",0.904761904761905
"24",0.904761904761905
"25",0.904761904761905
"26",0.882352941176471
"27",0.928571428571429
"28",0.904761904761905
"29",0.928571428571429
"30",0.928571428571429
"31",0.904761904761905
"32",0.928571428571429
"33",0.928571428571429
"34",0.880952380952381
"35",0.928571428571429
