,x,,,,
1,NA,,,,
2,Tetradtime,fges:,92.9,sec,elapsed
3,Tetradtime,fges:,125,sec,elapsed
4,Tetradtime,fges:,152.27,sec,elapsed
5,Tetradtime,fges:,179.52,sec,elapsed
6,Tetradtime,fges:,222.09,sec,elapsed
7,Tetradtime,fges:,257.68,sec,elapsed
8,Tetradtime,fges:,297.77,sec,elapsed
9,Tetradtime,fges:,336.33,sec,elapsed
10,Tetradtime,fges:,332.57,sec,elapsed
11,Tetradtime,fges:,406.86,sec,elapsed
12,Tetradtime,fges:,428.52,sec,elapsed
13,Tetradtime,fges:,445.25,sec,elapsed
14,Tetradtime,fges:,450.08,sec,elapsed
15,Tetradtime,fges:,488.97,sec,elapsed
16,Tetradtime,fges:,522.62,sec,elapsed
17,Tetradtime,fges:,555.17,sec,elapsed
18,Tetradtime,fges:,591.03,sec,elapsed
19,Tetradtime,fges:,624.78,sec,elapsed
20,Tetradtime,fges:,656.92,sec,elapsed
21,Tetradtime,fges:,687.75,sec,elapsed
22,Tetradtime,fges:,711.86,sec,elapsed
23,Tetradtime,fges:,734.86,sec,elapsed
24,Tetradtime,fges:,757.05,sec,elapsed
25,Tetradtime,fges:,831.67,sec,elapsed
26,Tetradtime,fges:,853.86,sec,elapsed
27,Tetradtime,fges:,889.58,sec,elapsed
28,Tetradtime,fges:,889.13,sec,elapsed
29,Tetradtime,fges:,901.44,sec,elapsed
30,Tetradtime,fges:,939.17,sec,elapsed
31,Tetradtime,fges:,966.84,sec,elapsed
32,Tetradtime,fges:,1001.47,sec,elapsed
33,Tetradtime,fges:,1029.15,sec,elapsed
34,Tetradtime,fges:,1060.42,sec,elapsed
35,Tetradtime,fges:,1125.22,sec,elapsed
