,x
1,NA
2,0.904761905
3,0.952380952
4,0.857142857
5,0.882352941
6,0.880952381
7,0.904761905
8,0.904761905
9,0.904761905
10,0.833333333
11,0.928571429
12,0.880952381
13,0.928571429
14,0.928571429
15,0.904761905
16,0.927710843
17,0.904761905
18,0.880952381
19,0.904761905
20,0.928571429
21,0.928571429
22,0.880952381
23,0.904761905
24,0.880952381
25,0.904761905
26,0.929411765
27,0.928571429
28,0.928571429
29,0.928571429
30,0.929411765
31,0.904761905
32,0.904761905
33,0.928571429
34,0.904761905
35,0.928571429
