"","x"
"1",NA
"2",0.883720930232558
"3",0.888888888888889
"4",0.9
"5",0.903614457831325
"6",0.880952380952381
"7",0.904761904761905
"8",0.883720930232558
"9",0.883720930232558
"10",0.875
"11",0.906976744186046
"12",0.880952380952381
"13",0.886363636363636
"14",0.906976744186046
"15",0.904761904761905
"16",0.865168539325843
"17",0.904761904761905
"18",0.902439024390244
"19",0.883720930232558
"20",0.906976744186046
"21",0.906976744186046
"22",0.880952380952381
"23",0.883720930232558
"24",0.902439024390244
"25",0.883720930232558
"26",0.929411764705882
"27",0.886363636363636
"28",0.906976744186046
"29",0.906976744186046
"30",0.908045977011494
"31",0.883720930232558
"32",0.904761904761905
"33",0.906976744186046
"34",0.904761904761905
"35",0.906976744186046
