,x,,,,
1,NA,,,,
2,Tetradtime,fges:,156.33,sec,elapsed
3,Tetradtime,fges:,187.98,sec,elapsed
4,Tetradtime,fges:,203.6,sec,elapsed
5,Tetradtime,fges:,244.33,sec,elapsed
6,Tetradtime,fges:,259.81,sec,elapsed
7,Tetradtime,fges:,303.92,sec,elapsed
8,Tetradtime,fges:,329.17,sec,elapsed
9,Tetradtime,fges:,365.55,sec,elapsed
10,Tetradtime,fges:,369.53,sec,elapsed
11,Tetradtime,fges:,422.95,sec,elapsed
12,Tetradtime,fges:,438.33,sec,elapsed
13,Tetradtime,fges:,483.08,sec,elapsed
14,Tetradtime,fges:,511.47,sec,elapsed
15,Tetradtime,fges:,536.19,sec,elapsed
16,Tetradtime,fges:,573.47,sec,elapsed
17,Tetradtime,fges:,590.22,sec,elapsed
18,Tetradtime,fges:,606.17,sec,elapsed
19,Tetradtime,fges:,650.77,sec,elapsed
20,Tetradtime,fges:,691.43,sec,elapsed
21,Tetradtime,fges:,721.78,sec,elapsed
22,Tetradtime,fges:,736.09,sec,elapsed
23,Tetradtime,fges:,765.92,sec,elapsed
24,Tetradtime,fges:,794.19,sec,elapsed
25,Tetradtime,fges:,840.42,sec,elapsed
26,Tetradtime,fges:,872.12,sec,elapsed
27,Tetradtime,fges:,902.03,sec,elapsed
28,Tetradtime,fges:,932.3,sec,elapsed
29,Tetradtime,fges:,961.61,sec,elapsed
30,Tetradtime,fges:,993.05,sec,elapsed
31,Tetradtime,fges:,1017.79,sec,elapsed
32,Tetradtime,fges:,1041.99,sec,elapsed
33,Tetradtime,fges:,1075.28,sec,elapsed
34,Tetradtime,fges:,1100.93,sec,elapsed
35,Tetradtime,fges:,1144.77,sec,elapsed
