"","x"
"1",NA
"2","Tetradtime fges: 189.98 sec elapsed"
"3","Tetradtime fges: 232.25 sec elapsed"
"4","Tetradtime fges: 265.92 sec elapsed"
"5","Tetradtime fges: 286.32 sec elapsed"
"6","Tetradtime fges: 1460.75 sec elapsed"
"7","Tetradtime fges: 1851.02 sec elapsed"
"8","Tetradtime fges: 943.1 sec elapsed"
"9","Tetradtime fges: 431.11 sec elapsed"
"10","Tetradtime fges: 426.73 sec elapsed"
"11","Tetradtime fges: 492.94 sec elapsed"
"12","Tetradtime fges: 513.9 sec elapsed"
"13","Tetradtime fges: 562.59 sec elapsed"
"14","Tetradtime fges: 595.28 sec elapsed"
"15","Tetradtime fges: 625.75 sec elapsed"
"16","Tetradtime fges: 667.42 sec elapsed"
"17","Tetradtime fges: 684.22 sec elapsed"
"18","Tetradtime fges: 700.75 sec elapsed"
"19","Tetradtime fges: 754.47 sec elapsed"
"20","Tetradtime fges: 796.85 sec elapsed"
"21","Tetradtime fges: 832.44 sec elapsed"
"22","Tetradtime fges: 842.08 sec elapsed"
"23","Tetradtime fges: 876.32 sec elapsed"
"24","Tetradtime fges: 919.46 sec elapsed"
"25","Tetradtime fges: 963.8 sec elapsed"
"26","Tetradtime fges: 1000.3 sec elapsed"
"27","Tetradtime fges: 1036.22 sec elapsed"
"28","Tetradtime fges: 1066.1 sec elapsed"
"29","Tetradtime fges: 1107.45 sec elapsed"
"30","Tetradtime fges: 1157.15 sec elapsed"
"31","Tetradtime fges: 1162.13 sec elapsed"
"32","Tetradtime fges: 1190.47 sec elapsed"
"33","Tetradtime fges: 1240.32 sec elapsed"
"34","Tetradtime fges: 1260.5 sec elapsed"
"35","Tetradtime fges: 1326.39 sec elapsed"
