,x,,,,
1,NA,,,,
2,NA,,,,
3,NA,,,,
4,NA,,,,
5,NA,,,,
6,NA,,,,
7,NA,,,,
8,NA,,,,
9,NA,,,,
10,NA,,,,
11,Tetradtime,fges:,466.68,sec,elapsed
12,Tetradtime,fges:,477.39,sec,elapsed
13,Tetradtime,fges:,504.25,sec,elapsed
14,Tetradtime,fges:,566.82,sec,elapsed
15,Tetradtime,fges:,634.28,sec,elapsed
16,Tetradtime,fges:,622.62,sec,elapsed
17,Tetradtime,fges:,660.74,sec,elapsed
18,Tetradtime,fges:,708.18,sec,elapsed
19,Tetradtime,fges:,689.52,sec,elapsed
20,Tetradtime,fges:,714.21,sec,elapsed
21,Tetradtime,fges:,752.78,sec,elapsed
22,Tetradtime,fges:,787.21,sec,elapsed
23,Tetradtime,fges:,817.5,sec,elapsed
24,Tetradtime,fges:,842.44,sec,elapsed
25,Tetradtime,fges:,876.55,sec,elapsed
26,Tetradtime,fges:,901.5,sec,elapsed
27,Tetradtime,fges:,945.02,sec,elapsed
28,Tetradtime,fges:,965.7,sec,elapsed
29,Tetradtime,fges:,1009.64,sec,elapsed
30,Tetradtime,fges:,1040.8,sec,elapsed
31,Tetradtime,fges:,1065.32,sec,elapsed
32,Tetradtime,fges:,1111.3,sec,elapsed
33,Tetradtime,fges:,1141.13,sec,elapsed
34,Tetradtime,fges:,1154.51,sec,elapsed
35,Tetradtime,fges:,1196.81,sec,elapsed
