"","x"
"1",NA
"2",NA
"3",NA
"4",NA
"5",NA
"6",NA
"7","Tetradtime fges: 321.7 sec elapsed"
"8","Tetradtime fges: 316.26 sec elapsed"
"9","Tetradtime fges: 408.08 sec elapsed"
"10","Tetradtime fges: 420.05 sec elapsed"
"11","Tetradtime fges: 424.42 sec elapsed"
"12","Tetradtime fges: 448.83 sec elapsed"
"13","Tetradtime fges: 490.81 sec elapsed"
"14","Tetradtime fges: 559.67 sec elapsed"
"15","Tetradtime fges: 631.36 sec elapsed"
"16","Tetradtime fges: 609.02 sec elapsed"
"17","Tetradtime fges: 700.03 sec elapsed"
