,x,,,,
1,NA,,,,
2,Tetradtime,fges:,159.27,sec,elapsed
3,Tetradtime,fges:,213.25,sec,elapsed
4,Tetradtime,fges:,194.95,sec,elapsed
5,Tetradtime,fges:,253.02,sec,elapsed
6,Tetradtime,fges:,267.28,sec,elapsed
7,Tetradtime,fges:,304.32,sec,elapsed
8,Tetradtime,fges:,338.8,sec,elapsed
9,Tetradtime,fges:,353.03,sec,elapsed
10,Tetradtime,fges:,363.3,sec,elapsed
11,Tetradtime,fges:,431.94,sec,elapsed
12,Tetradtime,fges:,448.96,sec,elapsed
13,Tetradtime,fges:,493.64,sec,elapsed
14,Tetradtime,fges:,524.53,sec,elapsed
15,Tetradtime,fges:,549.92,sec,elapsed
16,Tetradtime,fges:,550.99,sec,elapsed
17,Tetradtime,fges:,599.33,sec,elapsed
18,Tetradtime,fges:,615.24,sec,elapsed
19,Tetradtime,fges:,660.14,sec,elapsed
20,Tetradtime,fges:,701.06,sec,elapsed
21,Tetradtime,fges:,734.17,sec,elapsed
22,Tetradtime,fges:,737.41,sec,elapsed
23,Tetradtime,fges:,780.78,sec,elapsed
24,Tetradtime,fges:,809.36,sec,elapsed
25,Tetradtime,fges:,846.11,sec,elapsed
26,Tetradtime,fges:,883.33,sec,elapsed
27,Tetradtime,fges:,914.5,sec,elapsed
28,Tetradtime,fges:,943.53,sec,elapsed
29,Tetradtime,fges:,974.7,sec,elapsed
30,Tetradtime,fges:,1003.97,sec,elapsed
31,Tetradtime,fges:,1032.59,sec,elapsed
32,Tetradtime,fges:,1054.02,sec,elapsed
33,Tetradtime,fges:,1095.81,sec,elapsed
34,Tetradtime,fges:,1119.44,sec,elapsed
35,Tetradtime,fges:,1158.14,sec,elapsed
